State_UT,Year,Month,Temperature_Mean_C,Temperature_Max_C,Temperature_Min_C,Relative_Humidity_Mean,Dew_Point_Mean_C,Precipitation_Sum_mm,Pressure_msl_Mean_hPa,Wind_Speed_kmh,Wind_Direction_Dominant_deg,Wet_Bulb_Temp_C,Heat_Index_C,WBGT_C,Year_numeric,Month_sin,Month_cos,State_Andaman and Nicobar Islands,State_Andhra Pradesh,State_Arunachal Pradesh,State_Assam,State_Bihar,State_Chandigarh,State_Chhattisgarh,State_Dadra and Nagar Haveli and Daman and Diu,State_Delhi,State_Goa,State_Gujarat,State_Haryana,State_Himachal Pradesh,State_Jammu and Kashmir,State_Jharkhand,State_Karnataka,State_Kerala,State_Ladakh,State_Lakshadweep,State_Madhya Pradesh,State_Maharashtra,State_Manipur,State_Meghalaya,State_Mizoram,State_Nagaland,State_Odisha,State_Puducherry,State_Punjab,State_Rajasthan,State_Sikkim,State_Tamil Nadu,State_Telangana,State_Tripura,State_Uttar Pradesh,State_Uttarakhand,State_West Bengal,Alert_Status,Heatwave_Days
Andaman and Nicobar Islands,2011,12,26.293548387096774,27.5,24.9,78.29032258064517,22.141935483870967,181.6,1009.9645161290324,89.60516129032258,89.41935483870968,23.319834268929643,26.7232060432048,28.01313680317322,2011,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,1,25.532258064516128,26.9,23.8,75.09677419354838,20.758064516129032,35.5,1011.2290322580644,70.78064516129034,45.80645161290322,22.15315656443209,25.532258064516128,27.122980852402456,2012,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,2,26.02068965517241,27.6,24.1,76.44827586206897,21.49655172413793,55.1,1009.9379310344827,52.89517241379311,62.06896551724138,22.80345293052647,26.33638064651433,27.65548803617966,2012,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,3,26.5,28.2,24.7,74.19354838709677,21.47741935483871,9.8,1010.2903225806452,36.09290322580645,181.93548387096772,22.94022470238132,27.448274945393493,27.981008308035857,2012,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,4,27.793333333333333,29.1,25.2,76.46666666666667,23.266666666666666,27.6,1009.4666666666668,33.972,203.26666666666668,24.49287898436344,31.10972962985064,29.32452144085483,2012,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,5,27.141935483870967,28.7,25.4,83.87096774193549,24.135483870967743,328.9,1007.083870967742,83.39225806451613,250.0967741935484,24.93369940216477,29.80547115032051,29.128421284405597,2012,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,6,27.086666666666662,28.6,25.2,84.36666666666666,24.216666666666665,257.6,1006.5733333333334,128.292,229.96666666666667,24.95286642643292,29.95063716122566,29.104616505588133,2012,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,7,26.64516129032258,27.9,25.0,84.96774193548387,23.90967741935484,187.3,1006.8290322580646,105.89806451612904,224.06451612903223,24.609142437736597,28.005420762967187,28.719199429643385,2012,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,8,26.570967741935487,27.9,24.9,84.64516129032258,23.738709677419354,235.1,1008.3,109.47483870967744,235.48387096774192,24.488854146436083,28.02605553468161,28.6298583892268,2012,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,9,25.80666666666667,27.6,24.4,86.2,23.33,446.2,1009.2266666666668,91.008,235.33333333333331,23.964217804644576,25.901299339186373,27.99031759722532,2012,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
