State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-01,21.6,25.5,16.9,64,14.1,0.0,2.5,355,1012.2
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-02,23.0,27.3,19.2,52,12.4,0.0,3.71,1,1012.4
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-03,22.9,27.1,18.9,57,13.7,0.0,1.95,339,1012.2
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-04,23.2,27.1,18.9,57,13.9,0.0,2.87,352,1013.3
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-05,23.0,27.2,18.8,44,9.6,0.0,4.71,6,1013.1
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-06,24.3,30.0,18.2,46,12.0,0.0,4.22,3,1011.4
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-07,25.3,31.5,20.8,57,15.8,0.0,3.06,5,1012.1
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-08,24.7,30.1,19.3,66,17.6,0.0,2.48,354,1012.1
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-09,25.0,30.4,20.1,61,16.6,0.0,2.52,347,1011.7
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-10,24.8,30.3,19.7,61,16.1,0.0,2.1,339,1012.9
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-11,23.5,28.7,18.7,63,15.3,0.0,2.25,347,1013.8
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-12,23.5,28.5,17.6,62,15.3,0.0,3.18,3,1014.2
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-13,25.0,30.2,19.9,51,13.9,0.0,3.92,7,1013.5
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,20.3974,72.8328,2025-02-14,25.6,30.7,19.3,45,12.5,0.0,3.64,1,1013.1
