State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Gujarat,23.0225,72.5714,2024-06-01,34.6,41.9,29.5,49,21.0,0.0,4.25,217,1003.2
Gujarat,23.0225,72.5714,2024-06-02,34.5,41.6,29.4,47,19.5,0.0,3.05,214,1004.2
Gujarat,23.0225,72.5714,2024-06-03,34.9,41.3,29.3,50,22.0,0.1,3.26,226,1004.2
Gujarat,23.0225,72.5714,2024-06-04,35.1,40.9,29.7,48,21.5,0.0,3.5,246,1004.4
Gujarat,23.0225,72.5714,2024-06-05,34.9,41.3,29.1,45,19.8,0.0,3.88,255,1004.8
Gujarat,23.0225,72.5714,2024-06-06,35.1,41.6,28.6,45,20.0,0.0,3.21,268,1005.6
Gujarat,23.0225,72.5714,2024-06-07,35.6,41.6,29.6,45,21.0,0.0,3.4,270,1003.7
Gujarat,23.0225,72.5714,2024-06-08,35.1,40.9,29.6,45,20.6,0.0,3.39,251,1002.7
Gujarat,23.0225,72.5714,2024-06-09,35.8,42.2,30.5,44,20.6,0.0,3.83,265,1001.9
Gujarat,23.0225,72.5714,2024-06-10,34.9,40.9,30.0,47,20.9,0.0,3.19,248,1003.2
Gujarat,23.0225,72.5714,2024-06-11,34.8,41.3,29.0,49,20.9,0.0,3.47,269,1003.3
Gujarat,23.0225,72.5714,2024-06-12,34.2,40.8,28.2,50,21.1,0.0,3.92,253,1004.1
Gujarat,23.0225,72.5714,2024-06-13,34.1,41.2,28.7,50,20.3,0.0,4.05,250,1003.7
Gujarat,23.0225,72.5714,2024-06-14,33.9,40.7,29.4,51,20.9,0.0,4.18,230,1002.8
Gujarat,23.0225,72.5714,2024-06-15,33.9,39.9,29.5,52,21.3,0.0,3.32,216,1002.5
Gujarat,23.0225,72.5714,2024-06-16,34.6,41.0,29.9,51,21.8,0.0,3.56,208,1002.7
Gujarat,23.0225,72.5714,2024-06-17,34.7,40.9,30.0,52,22.5,0.0,3.3,206,1003.0
Gujarat,23.0225,72.5714,2024-06-18,34.1,40.0,30.7,54,23.0,0.5,4.53,216,1002.2
Gujarat,23.0225,72.5714,2024-06-19,33.8,40.5,30.0,55,23.2,0.8,4.81,211,999.6
Gujarat,23.0225,72.5714,2024-06-20,34.4,41.9,29.9,53,22.7,0.0,5.05,206,998.3
Gujarat,23.0225,72.5714,2024-06-21,34.2,41.3,29.7,55,23.2,0.1,4.39,215,999.5
Gujarat,23.0225,72.5714,2024-06-22,34.6,40.2,30.1,51,22.3,0.0,3.15,255,999.1
Gujarat,23.0225,72.5714,2024-06-23,34.6,41.7,30.4,54,23.0,0.4,2.57,230,998.5
Gujarat,23.0225,72.5714,2024-06-24,33.3,40.0,29.8,59,23.8,7.5,2.59,220,997.5
Gujarat,23.0225,72.5714,2024-06-25,30.7,35.1,27.1,73,25.2,2.3,2.6,175,996.9
Gujarat,23.0225,72.5714,2024-06-26,32.3,37.3,28.5,67,25.0,0.3,2.56,179,996.3
Gujarat,23.0225,72.5714,2024-06-27,31.1,35.1,28.5,73,25.4,0.2,4.02,159,997.8
Gujarat,23.0225,72.5714,2024-06-28,29.4,32.5,27.6,79,25.2,8.2,4.36,167,998.9
Gujarat,23.0225,72.5714,2024-06-29,28.3,31.6,26.8,87,25.8,15.6,4.2,182,999.8
Gujarat,23.0225,72.5714,2024-06-30,27.7,31.2,26.5,90,25.9,34.6,3.84,186,1000.0
Haryana,30.7333,76.7794,2024-06-01,35.2,42.9,26.7,15,3.5,0.0,2.33,270,999.9
Haryana,30.7333,76.7794,2024-06-02,34.7,41.4,28.4,25,10.9,0.0,3.09,330,1001.5
Haryana,30.7333,76.7794,2024-06-03,34.9,42.5,27.3,21,8.8,0.0,2.92,301,1000.2
Haryana,30.7333,76.7794,2024-06-04,35.0,41.5,28.3,20,8.2,0.0,2.77,321,999.9
Haryana,30.7333,76.7794,2024-06-05,33.6,40.3,26.6,26,10.9,0.0,2.84,294,1001.6
Haryana,30.7333,76.7794,2024-06-06,32.3,38.7,23.8,32,12.7,0.4,3.83,324,1004.0
Haryana,30.7333,76.7794,2024-06-07,33.7,40.3,27.4,28,11.6,0.0,4.72,324,1001.2
Haryana,30.7333,76.7794,2024-06-08,32.9,39.0,27.5,28,11.6,0.0,4.54,319,1000.6
Haryana,30.7333,76.7794,2024-06-09,33.4,40.6,26.8,25,9.0,0.0,4.12,319,1000.2
Haryana,30.7333,76.7794,2024-06-10,34.0,40.9,27.9,19,6.3,0.0,3.48,318,1000.1
Haryana,30.7333,76.7794,2024-06-11,34.7,41.9,25.3,18,6.2,0.0,2.89,324,999.3
Haryana,30.7333,76.7794,2024-06-12,35.3,43.3,26.7,18,6.6,0.0,3.51,315,998.9
Haryana,30.7333,76.7794,2024-06-13,36.5,43.4,29.4,18,8.0,0.0,3.87,319,997.7
Haryana,30.7333,76.7794,2024-06-14,36.1,42.9,28.7,20,8.9,0.0,4.1,319,997.1
Haryana,30.7333,76.7794,2024-06-15,36.2,42.6,29.0,22,10.7,0.0,4.41,316,997.5
Haryana,30.7333,76.7794,2024-06-16,37.0,43.2,30.3,24,12.7,0.0,4.24,313,997.6
Haryana,30.7333,76.7794,2024-06-17,37.4,43.6,31.7,23,12.6,0.0,4.1,312,997.6
Haryana,30.7333,76.7794,2024-06-18,37.3,43.2,31.5,25,13.6,0.0,4.48,314,995.5
Haryana,30.7333,76.7794,2024-06-19,35.5,41.6,31.7,29,14.6,0.1,3.86,330,994.2
Haryana,30.7333,76.7794,2024-06-20,31.0,38.0,25.2,49,18.4,0.2,2.5,171,996.7
Haryana,30.7333,76.7794,2024-06-21,30.0,34.2,25.3,58,20.7,0.1,1.98,162,999.5
Haryana,30.7333,76.7794,2024-06-22,31.5,36.4,25.7,51,19.7,0.1,1.89,144,999.2
Haryana,30.7333,76.7794,2024-06-23,32.0,35.7,28.3,55,21.6,3.4,2.15,131,1000.2
Haryana,30.7333,76.7794,2024-06-24,32.9,38.0,29.0,53,21.9,0.3,2.59,135,998.8
Haryana,30.7333,76.7794,2024-06-25,33.2,38.5,29.1,55,22.7,0.0,1.83,153,997.6
Haryana,30.7333,76.7794,2024-06-26,32.4,37.0,28.7,60,23.4,1.8,2.97,141,998.4
Haryana,30.7333,76.7794,2024-06-27,29.7,32.7,27.3,70,23.5,0.8,3.79,142,1001.3
Haryana,30.7333,76.7794,2024-06-28,30.0,34.4,26.8,69,23.3,1.9,3.01,139,1000.1
Haryana,30.7333,76.7794,2024-06-29,30.5,34.2,26.6,70,24.3,0.7,1.45,140,998.2
Haryana,30.7333,76.7794,2024-06-30,30.3,35.6,25.2,71,24.1,4.0,2.43,161,997.6
Himachal_Pradesh,31.1048,77.1734,2024-06-01,21.6,28.4,13.9,21,-3.5,0.0,2.88,311,1006.3
Himachal_Pradesh,31.1048,77.1734,2024-06-02,20.1,25.3,13.2,35,3.2,0.1,2.9,320,1008.2
Himachal_Pradesh,31.1048,77.1734,2024-06-03,21.0,26.5,13.7,30,2.2,0.1,2.94,312,1006.8
Himachal_Pradesh,31.1048,77.1734,2024-06-04,20.7,25.7,14.7,33,3.4,0.1,3.14,321,1006.7
Himachal_Pradesh,31.1048,77.1734,2024-06-05,19.5,26.3,14.1,41,5.1,0.9,2.41,6,1008.6
Himachal_Pradesh,31.1048,77.1734,2024-06-06,18.3,23.7,12.7,45,5.6,0.0,2.63,314,1010.1
Himachal_Pradesh,31.1048,77.1734,2024-06-07,19.4,25.7,12.7,40,4.5,0.0,3.06,321,1007.3
Himachal_Pradesh,31.1048,77.1734,2024-06-08,19.6,24.7,13.7,38,4.1,0.0,2.3,315,1006.5
Himachal_Pradesh,31.1048,77.1734,2024-06-09,19.8,25.5,12.8,35,2.7,0.0,2.43,312,1006.1
Himachal_Pradesh,31.1048,77.1734,2024-06-10,21.1,26.3,13.1,28,1.4,0.0,2.46,317,1006.4
Himachal_Pradesh,31.1048,77.1734,2024-06-11,21.8,26.9,14.0,26,0.6,0.0,2.39,329,1005.9
Himachal_Pradesh,31.1048,77.1734,2024-06-12,22.3,27.9,14.5,24,0.1,0.0,2.82,318,1005.6
Himachal_Pradesh,31.1048,77.1734,2024-06-13,22.7,28.3,15.0,27,1.9,0.0,3.01,326,1004.6
Himachal_Pradesh,31.1048,77.1734,2024-06-14,22.5,28.0,15.6,29,2.9,0.0,2.83,318,1003.9
Himachal_Pradesh,31.1048,77.1734,2024-06-15,23.1,27.4,15.9,30,4.0,0.0,2.9,316,1004.2
Himachal_Pradesh,31.1048,77.1734,2024-06-16,23.5,28.1,18.1,33,6.0,0.0,3.02,312,1004.6
Himachal_Pradesh,31.1048,77.1734,2024-06-17,24.5,28.4,19.6,31,5.8,0.0,3.2,315,1004.7
Himachal_Pradesh,31.1048,77.1734,2024-06-18,24.1,28.2,19.7,34,7.1,0.1,3.61,311,1002.5
Himachal_Pradesh,31.1048,77.1734,2024-06-19,22.6,27.2,17.5,38,6.6,0.4,2.94,318,1000.9
Himachal_Pradesh,31.1048,77.1734,2024-06-20,19.4,25.6,15.7,54,9.3,1.4,1.94,283,1002.4
Himachal_Pradesh,31.1048,77.1734,2024-06-21,18.6,23.4,15.6,61,10.7,5.9,1.18,68,1004.8
Himachal_Pradesh,31.1048,77.1734,2024-06-22,19.1,23.8,13.7,62,11.3,2.4,1.4,241,1005.0
