time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,State_UT,Latitude,Longitude,Region
2012-06-01,30.4,34.0,27.8,67,23.2,0.0,15.0,228,1005.3,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-02,30.3,33.9,27.8,73,24.8,1.0,14.9,229,1005.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-03,30.5,34.7,28.0,72,24.6,0.6,14.0,231,1004.3,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-04,30.7,34.6,27.5,71,24.5,0.0,12.7,230,1003.8,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-05,30.7,34.9,27.2,71,24.6,0.0,10.7,233,1003.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-06,30.0,32.9,28.3,73,24.6,0.0,9.1,219,1002.7,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-07,29.8,33.6,27.3,74,24.4,0.1,10.7,219,1003.7,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-08,29.4,32.8,27.5,75,24.4,0.7,9.8,228,1005.7,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-09,28.9,33.0,26.3,79,24.9,2.0,12.9,224,1006.5,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-10,28.4,31.1,26.0,82,25.0,2.7,15.4,208,1005.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-11,29.4,32.8,26.3,75,24.2,1.0,14.8,194,1002.4,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-12,30.7,35.5,26.5,70,24.3,0.0,6.7,273,1001.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-13,29.9,35.1,27.1,75,24.7,8.0,10.1,193,1002.8,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-14,30.5,33.5,27.0,70,24.3,0.3,14.0,196,1004.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-15,30.2,33.1,28.0,73,24.7,0.4,15.5,200,1004.4,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-16,28.8,32.4,27.1,83,25.6,12.1,15.5,206,1003.4,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-17,27.5,30.1,25.9,90,25.6,14.5,13.4,221,1002.3,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-18,29.5,32.6,26.5,80,25.6,6.0,15.6,248,1002.9,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-19,29.8,33.2,27.5,80,25.9,9.2,17.6,246,1004.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-20,28.9,31.6,27.2,84,25.9,7.1,16.3,233,1004.2,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-21,29.3,32.0,27.0,81,25.6,4.3,15.9,237,1004.5,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-22,29.5,32.5,27.0,77,25.0,1.4,15.0,231,1004.8,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-23,29.3,32.4,26.6,78,24.9,3.6,15.1,222,1003.7,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-24,27.8,29.7,26.5,86,25.3,3.8,16.2,209,1002.9,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-25,28.8,31.5,26.3,85,25.8,4.8,16.3,217,1004.8,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-26,28.6,31.4,26.6,85,25.7,2.4,15.6,215,1005.6,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-27,28.3,31.2,24.8,82,24.7,3.2,16.4,206,1005.3,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-28,28.4,31.2,26.3,81,24.9,0.8,13.0,206,1005.1,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-29,28.5,31.8,26.4,80,24.7,0.7,11.6,202,1004.4,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-30,28.6,32.7,25.9,79,24.6,2.4,12.4,203,1002.9,Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,UT
2012-06-01,38.7,44.6,34.5,27,15.6,0.0,16.2,286,996.1,Delhi,28.7041,77.1025,UT
