State_UT,Latitude,Longitude,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean
Odisha,20.2961,85.8245,2025-09-01,27.9,31.9,25.0,88,25.6,1.3,1.7,9,1000.7
Odisha,20.2961,85.8245,2025-09-02,26.4,29.8,24.4,92,24.9,30.7,1.3,79,1000.0
Odisha,20.2961,85.8245,2025-09-03,25.5,26.4,24.8,96,24.8,80.7,2.88,264,999.7
Odisha,20.2961,85.8245,2025-09-04,27.4,30.9,25.2,91,25.6,8.9,1.43,168,1002.7
Odisha,20.2961,85.8245,2025-09-05,27.6,30.1,25.2,90,25.7,12.4,1.18,197,1004.8
Odisha,20.2961,85.8245,2025-09-06,27.1,30.4,25.1,92,25.6,9.8,0.91,150,1006.2
Odisha,20.2961,85.8245,2025-09-07,27.5,31.8,24.8,88,25.3,5.5,1.06,164,1005.5
Odisha,20.2961,85.8245,2025-09-08,28.0,31.9,24.8,87,25.6,3.8,1.36,129,1005.3
Odisha,20.2961,85.8245,2025-09-09,28.5,32.1,24.8,86,25.7,1.3,1.54,170,1006.0
Odisha,20.2961,85.8245,2025-09-10,28.7,33.2,25.6,86,25.9,6.7,1.7,204,1005.5
Odisha,20.2961,85.8245,2025-09-11,28.2,30.9,25.7,89,26.1,5.6,1.71,176,1004.9
Odisha,20.2961,85.8245,2025-09-12,27.5,31.5,25.3,88,25.3,4.9,2.04,60,1005.5
Odisha,20.2961,85.8245,2025-09-13,27.6,30.6,25.5,88,25.3,13.5,1.92,142,1006.5
Odisha,20.2961,85.8245,2025-09-14,27.7,30.7,25.7,87,25.3,10.0,1.77,173,1006.9
Odisha,20.2961,85.8245,2025-09-15,27.7,31.1,25.4,87,25.3,7.5,2.34,205,1006.1
Odisha,20.2961,85.8245,2025-09-16,26.9,29.9,25.3,91,25.3,17.3,2.69,195,1006.5
Odisha,20.2961,85.8245,2025-09-17,28.3,32.4,25.9,83,25.1,5.6,2.82,204,1006.8
Odisha,20.2961,85.8245,2025-09-18,29.0,33.2,25.7,80,25.1,0.3,2.15,221,1006.5
Odisha,20.2961,85.8245,2025-09-19,29.3,33.4,26.2,83,25.9,0.5,1.61,220,1006.3
Odisha,20.2961,85.8245,2025-09-20,28.6,33.3,25.8,86,25.9,8.1,1.31,276,1004.8
Odisha,20.2961,85.8245,2025-09-21,27.9,33.3,25.7,88,25.7,9.7,1.77,303,1003.8
Odisha,20.2961,85.8245,2025-09-22,27.6,32.7,25.1,89,25.4,7.4,1.64,298,1004.0
Odisha,20.2961,85.8245,2025-09-23,26.6,30.0,25.3,92,25.1,22.6,1.87,287,1003.0
Odisha,20.2961,85.8245,2025-09-24,26.9,30.4,24.7,89,24.8,5.8,1.65,271,1000.3
Odisha,20.2961,85.8245,2025-09-25,27.3,32.0,25.0,90,25.3,12.4,2.01,54,1000.7
Odisha,20.2961,85.8245,2025-09-26,26.1,27.5,25.0,94,24.9,21.5,3.23,49,1000.6
Odisha,20.2961,85.8245,2025-09-27,26.8,29.5,25.0,90,25.0,8.4,3.01,139,1003.4
Odisha,20.2961,85.8245,2025-09-28,27.1,30.2,24.8,89,25.1,8.9,1.88,119,1005.5
Odisha,20.2961,85.8245,2025-09-29,27.1,31.9,24.9,89,25.0,8.1,1.04,57,1004.5
Odisha,20.2961,85.8245,2025-09-30,28.3,32.4,24.9,85,25.2,0.7,1.59,1,1002.7
Punjab,30.7333,76.7794,2025-09-01,23.8,25.0,23.0,95,23.0,57.7,1.75,111,1001.2
Punjab,30.7333,76.7794,2025-09-02,24.8,29.4,22.9,85,22.0,5.7,2.46,132,1002.2
Punjab,30.7333,76.7794,2025-09-03,24.7,27.7,22.3,88,22.5,40.8,3.03,132,1004.8
Punjab,30.7333,76.7794,2025-09-04,25.6,28.7,23.7,89,23.5,1.1,1.74,356,1005.5
Punjab,30.7333,76.7794,2025-09-05,27.4,31.2,23.7,81,23.6,0.9,1.27,141,1005.3
Punjab,30.7333,76.7794,2025-09-06,27.2,31.2,24.0,83,24.0,3.5,1.29,98,1006.0
Punjab,30.7333,76.7794,2025-09-07,27.6,31.4,24.7,78,23.3,0.2,1.72,116,1005.2
Punjab,30.7333,76.7794,2025-09-08,27.1,30.6,23.8,81,23.5,1.5,1.49,111,1005.8
Punjab,30.7333,76.7794,2025-09-09,27.8,31.9,23.5,79,23.6,0.1,2.13,316,1006.5
Punjab,30.7333,76.7794,2025-09-10,27.4,30.9,24.6,81,23.7,1.3,3.86,322,1005.3
Punjab,30.7333,76.7794,2025-09-11,27.4,31.0,24.7,79,23.4,1.0,2.94,318,1004.7
Punjab,30.7333,76.7794,2025-09-12,27.3,31.2,24.9,81,23.7,2.0,2.35,321,1006.1
Punjab,30.7333,76.7794,2025-09-13,27.2,31.5,24.5,84,24.2,5.8,1.55,334,1006.8
Punjab,30.7333,76.7794,2025-09-14,27.5,32.0,24.4,82,24.1,2.7,1.67,317,1006.3
Punjab,30.7333,76.7794,2025-09-15,27.7,32.1,24.3,81,23.9,5.7,1.99,332,1004.3
Punjab,30.7333,76.7794,2025-09-16,26.2,31.2,23.2,89,24.1,17.3,1.58,79,1005.0
Punjab,30.7333,76.7794,2025-09-17,27.0,31.3,22.7,83,23.6,3.5,2.25,331,1005.6
Punjab,30.7333,76.7794,2025-09-18,26.2,30.4,22.7,87,23.7,3.8,1.45,140,1006.0
Punjab,30.7333,76.7794,2025-09-19,26.8,31.6,23.0,80,22.8,0.5,1.98,324,1006.3
Punjab,30.7333,76.7794,2025-09-20,26.6,31.3,20.3,73,21.1,0.0,2.61,330,1005.4
Punjab,30.7333,76.7794,2025-09-21,27.5,31.3,23.5,73,22.0,0.0,3.06,329,1004.3
Punjab,30.7333,76.7794,2025-09-22,28.0,32.0,22.5,72,22.3,0.0,2.71,333,1004.9
Punjab,30.7333,76.7794,2025-09-23,28.4,32.7,23.6,71,22.4,0.0,2.78,328,1004.4
Punjab,30.7333,76.7794,2025-09-24,28.2,32.6,24.0,71,22.2,0.0,2.95,326,1002.8
Punjab,30.7333,76.7794,2025-09-25,28.3,32.8,24.0,73,22.8,0.0,2.82,328,1003.9
Punjab,30.7333,76.7794,2025-09-26,28.3,32.9,24.3,71,22.2,0.0,3.2,329,1005.1
Punjab,30.7333,76.7794,2025-09-27,28.2,34.1,22.5,74,22.6,0.0,1.14,97,1007.7
Punjab,30.7333,76.7794,2025-09-28,28.6,33.3,23.9,73,23.0,0.0,1.32,95,1007.2
Punjab,30.7333,76.7794,2025-09-29,28.1,33.5,23.5,73,22.4,0.0,1.3,54,1005.3
Punjab,30.7333,76.7794,2025-09-30,27.6,33.5,21.8,68,20.7,0.0,1.34,4,1003.2
Rajasthan,26.9124,75.7873,2025-09-01,24.8,27.3,22.7,91,23.1,17.7,2.73,234,999.8
Rajasthan,26.9124,75.7873,2025-09-02,26.1,30.8,23.4,86,23.5,2.4,2.43,260,1000.7
Rajasthan,26.9124,75.7873,2025-09-03,25.7,30.0,22.9,88,23.4,6.2,1.76,65,1003.6
Rajasthan,26.9124,75.7873,2025-09-04,26.3,30.0,23.3,85,23.4,12.0,2.75,46,1003.7
Rajasthan,26.9124,75.7873,2025-09-05,25.9,29.2,23.9,87,23.5,8.4,3.88,56,1002.9
Rajasthan,26.9124,75.7873,2025-09-06,26.1,30.6,23.7,87,23.6,8.5,3.69,107,1003.6
Rajasthan,26.9124,75.7873,2025-09-07,26.2,30.6,23.6,85,23.4,3.3,2.75,148,1004.2
Rajasthan,26.9124,75.7873,2025-09-08,26.4,30.5,22.4,78,22.1,0.5,2.26,192,1005.9
Rajasthan,26.9124,75.7873,2025-09-09,27.1,31.1,23.4,74,21.9,0.0,1.84,262,1008.1
Rajasthan,26.9124,75.7873,2025-09-10,27.3,31.2,23.8,70,21.2,0.0,2.92,290,1007.8
Rajasthan,26.9124,75.7873,2025-09-11,26.8,30.6,23.3,71,20.9,0.0,2.9,277,1007.2
Rajasthan,26.9124,75.7873,2025-09-12,27.0,30.8,23.6,74,21.8,0.0,2.35,290,1008.0
Rajasthan,26.9124,75.7873,2025-09-13,27.7,31.9,23.7,69,21.2,0.0,1.85,295,1007.9
Rajasthan,26.9124,75.7873,2025-09-14,28.4,32.6,24.5,67,21.3,0.0,1.91,301,1007.3
Rajasthan,26.9124,75.7873,2025-09-15,28.5,32.4,24.8,66,21.3,0.1,2.41,287,1005.7
Rajasthan,26.9124,75.7873,2025-09-16,28.2,32.6,24.3,68,21.4,0.0,1.92,279,1005.5
Rajasthan,26.9124,75.7873,2025-09-17,28.7,32.6,24.7,67,21.7,0.1,1.75,297,1006.1
Rajasthan,26.9124,75.7873,2025-09-18,28.2,32.8,25.0,69,21.6,0.5,1.65,321,1006.2
Rajasthan,26.9124,75.7873,2025-09-19,29.0,34.0,24.9,66,21.4,0.0,1.77,299,1007.0
Rajasthan,26.9124,75.7873,2025-09-20,29.0,33.7,25.5,63,20.6,0.0,2.14,304,1006.7
Rajasthan,26.9124,75.7873,2025-09-21,29.2,34.4,24.6,59,19.6,0.0,2.46,304,1006.1
Rajasthan,26.9124,75.7873,2025-09-22,29.5,34.8,24.1,56,18.9,0.0,2.56,306,1006.5
Rajasthan,26.9124,75.7873,2025-09-23,29.4,34.4,24.8,56,18.9,0.0,2.73,298,1006.3
Rajasthan,26.9124,75.7873,2025-09-24,29.0,34.0,24.5,56,18.8,0.0,2.85,297,1004.8
Rajasthan,26.9124,75.7873,2025-09-25,29.4,34.9,24.5,54,18.5,0.0,2.65,304,1005.4
Rajasthan,26.9124,75.7873,2025-09-26,30.4,35.5,25.3,49,18.0,0.0,2.76,328,1006.3
Rajasthan,26.9124,75.7873,2025-09-27,30.3,35.7,25.7,55,19.8,0.0,2.79,29,1007.2
Rajasthan,26.9124,75.7873,2025-09-28,29.6,34.0,25.8,67,22.6,0.6,3.6,69,1006.0
Rajasthan,26.9124,75.7873,2025-09-29,28.5,32.9,24.3,73,23.0,2.9,2.84,85,1004.8
Rajasthan,26.9124,75.7873,2025-09-30,26.8,32.0,24.9,83,23.4,15.5,1.05,82,1003.8
Sikkim,27.3389,88.6065,2025-09-01,21.2,25.2,17.9,77,16.8,1.6,0.54,282,1007.3
Sikkim,27.3389,88.6065,2025-09-02,20.5,24.5,17.4,82,17.2,0.7,0.71,246,1008.7
Sikkim,27.3389,88.6065,2025-09-03,20.6,24.9,16.8,81,17.1,1.5,0.7,258,1009.9
Sikkim,27.3389,88.6065,2025-09-04,20.5,25.8,16.7,82,17.2,3.3,0.83,256,1010.4
Sikkim,27.3389,88.6065,2025-09-05,19.8,25.1,15.6,82,16.6,6.0,0.7,202,1010.6
Sikkim,27.3389,88.6065,2025-09-06,19.9,23.5,17.3,89,18.0,13.7,0.63,216,1011.1
Sikkim,27.3389,88.6065,2025-09-07,19.6,22.9,17.9,92,18.3,14.3,0.54,237,1010.1
Sikkim,27.3389,88.6065,2025-09-08,19.7,23.7,17.5,90,17.9,20.1,0.47,238,1009.9
Sikkim,27.3389,88.6065,2025-09-09,19.9,24.5,17.2,89,17.9,5.0,0.43,219,1010.1
Sikkim,27.3389,88.6065,2025-09-10,19.8,23.7,17.5,91,18.2,12.4,0.49,222,1008.9
Sikkim,27.3389,88.6065,2025-09-11,20.3,25.1,17.7,88,18.1,19.0,0.57,233,1009.4
Sikkim,27.3389,88.6065,2025-09-12,20.1,23.6,17.5,87,17.7,1.9,0.55,228,1010.8
Sikkim,27.3389,88.6065,2025-09-13,20.3,24.7,17.4,86,17.8,3.0,0.59,219,1011.4
Sikkim,27.3389,88.6065,2025-09-14,18.7,20.9,17.4,95,17.9,3.8,0.44,301,1011.7
Sikkim,27.3389,88.6065,2025-09-15,18.4,21.3,16.9,92,17.0,22.0,0.45,310,1011.1
Sikkim,27.3389,88.6065,2025-09-16,18.3,20.2,17.0,94,17.2,7.5,0.41,275,1011.7
Sikkim,27.3389,88.6065,2025-09-17,19.0,22.3,16.9,92,17.7,15.8,0.6,216,1011.0
Sikkim,27.3389,88.6065,2025-09-18,19.3,24.2,16.2,88,17.2,3.7,0.53,215,1010.4
Sikkim,27.3389,88.6065,2025-09-19,19.1,22.8,16.7,89,17.1,20.0,0.52,244,1010.7
Sikkim,27.3389,88.6065,2025-09-20,19.1,23.9,16.5,89,17.1,16.9,0.57,244,1009.6
Sikkim,27.3389,88.6065,2025-09-21,19.5,24.6,15.9,85,16.8,11.9,0.62,258,1008.5
Sikkim,27.3389,88.6065,2025-09-22,20.6,26.0,16.4,78,16.3,0.0,0.69,230,1008.9
Sikkim,27.3389,88.6065,2025-09-23,21.1,26.1,17.4,77,16.6,0.0,0.61,261,1008.4
Sikkim,27.3389,88.6065,2025-09-24,20.5,25.6,16.7,78,16.4,0.9,0.66,235,1007.1
Sikkim,27.3389,88.6065,2025-09-25,20.5,25.3,15.7,75,15.8,0.0,0.53,51,1007.5
Sikkim,27.3389,88.6065,2025-09-26,21.0,26.2,15.3,72,15.3,0.0,0.7,1,1010.3
Sikkim,27.3389,88.6065,2025-09-27,20.5,25.6,16.6,72,15.1,0.0,0.55,250,1013.1
Sikkim,27.3389,88.6065,2025-09-28,19.8,24.6,15.7,79,15.9,0.9,0.58,205,1012.3
Sikkim,27.3389,88.6065,2025-09-29,19.8,25.1,15.4,74,14.9,5.1,0.57,45,1009.9
Sikkim,27.3389,88.6065,2025-09-30,19.3,25.2,15.2,75,14.6,11.0,0.76,49,1007.6
Tamil_Nadu,13.0827,80.2707,2025-09-01,27.9,31.4,25.0,79,23.8,4.2,2.36,251,1004.3
Tamil_Nadu,13.0827,80.2707,2025-09-02,29.9,36.0,25.7,64,21.9,10.4,2.87,268,1003.7
Tamil_Nadu,13.0827,80.2707,2025-09-03,29.0,35.8,26.0,72,23.0,12.9,3.17,250,1004.0
